"ID","povertyRatio24","logPovertyRatio24","inPoverty24","college24","sex","birthYear","isLessAge14R1","isBlack","isHispanic","hasSibling","maxParentEducation","avgPovertyRatio18","logAvgPovertyRatio18","inPoverty18","livesWithMom","momSupport","momStrict","livesWithDad","dadSupport","dadStrict","safeEnv","pctPeersPositive","pctPeersNegative","schoolAbsent","schoolLate","schoolEnvironment","schoolViolence","teacherQuality","liesCheats","negativeEmotions","positiveOutlook"
158,6.85,1.92424865227413,0,1,0,4,1,0,1,1,16,5.27333333333333,1.6626626736714,0,1,2,1,1,2,1,1,0.4375,0.13,0,1,8,0,5,1,0,11
159,3.1,1.1314021114911,0,0,1,0,0,0,1,1,12,0,-4.60517018598809,1,1,1,1,1,2,1,1,0.8375,0.23,4.88937492805341,2.39700714204739,3,0,5,0,0,0
161,1.15,0.139761942375159,0,0,0,2,1,0,1,1,9,0.32,-1.13943428318836,1,1,2,1,0,0,0,1,0.15,0.5,5,3,2,1,2,1,0,8
162,2.35,0.854415328156068,0,1,1,1,0,1,0,1,12,2.17,0.774727167552368,0,1,2,1,0,0,0,1,0.85,0.68,3,4,6,1,4,0,0,0
163,0.07,-2.65926003693278,1,0,0,3,1,1,0,1,12,2.17,0.774727167552368,0,1,1,1,0,0,0,1,0.675,0.69,2,0,4,0,5,1,0,9
164,1.63,0.488580014818671,0,0,1,1,0,0,0,1,12,2.55,0.936093359170335,0,1,2,0,1,2,0,1,0.5625,0.41,24,4,6,0,4,0,0,0
165,3.09,1.12817109090965,0,1,0,0,0,0,0,1,13,0,-4.60517018598809,1,1,2,1,1,2,1,1,0.5,0.46,2,0,7,0,4,0,0,0
167,4.92,1.59330853050422,0,0,0,4,1,0,1,1,12,5.29,1.66581824587021,0,1,2,1,1,2,0,1,0.365,0.137,0,1,8,1,5,0,1,7
169,1.39,0.3293037471426,0,0,1,3,1,0,0,1,20,1.6,0.470003629245736,0,1,2,0,1,2,0,1,0.625,0.13,7,0,8,1,6,0,1,8
170,2.11,0.746687947487975,0,0,1,4,1,0,0,1,20,1.025,0.0246926125903714,0,1,2,0,1,2,1,0,0.5625,0.13,4,0,9,0,6,0,1,7
